"","ro","text","sentiment"
"475","475","Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape."," Pos"
"476","476","It has everything I need and I couldn't ask for more."," Pos"
"477","477","After receiving and using the product for just 2 days it broke.","Neg"
"478","478","None of the three sizes they sent with the headset would stay in my ears.","Neg"
"479","479","T-Mobile has the best customer service anywhere."," Pos"
"480","480","We have tried 2 units and they both failed within 2 months.. Pros","Neg"
"481","481","Provides good protection and looks classy, too."," Pos"
"482","482","Krussel Always good."," Pos"
"483","483","The design is very good.4."," Pos"
"484","484","I would highly recommend this product."," Pos"
"485","485","It dit not work most of the time with my Nokia 5320.","Neg"
"486","486","stay away from this store, be careful.","Neg"
"487","487",".... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs."," Pos"
"488","488","disappointing.","Neg"
"489","489","Blue Ant is easy to use."," Pos"
"490","490","Cheap but hey it works.. Was pleasantly suprised given the low cost of this item."," Pos"
"491","491","The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.","Neg"
"492","492","Then a few days later the a puff of smoke came out of the phone while in use.","Neg"
"493","493","The nano stated it.My son was dissapointed.","Neg"
"494","494","The sound quality is excellent as well."," Pos"
"495","495","Its the best headset I have used."," Pos"
"496","496","Would not reccommend.","Neg"
"497","497","They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date."," Pos"
"498","498","Just what I wanted."," Pos"
"499","499","This particular model would not work with my Motorola Q smartphone.","Neg"
"500","500","in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.","Neg"
"501","501","I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good","Neg"
"502","502","Great product."," Pos"
"503","503","Crisp and Clear."," Pos"
"504","504","AFter the first charge kept going dead after 12 minutes.","Neg"
"505","505","VERY cheap plastic, creaks like an old wooden floor.","Neg"
"506","506","Excellent sound, battery life and inconspicuous to boot!."," Pos"
"507","507","Great bluetooth!."," Pos"
"508","508","WORTHWHILE."," Pos"
"509","509","After my phone got to be about a year old, it's been slowly breaking despite much care on my part.","Neg"
"510","510","I am sorry I made this purchase.","Neg"
"511","511","I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.","Neg"
"512","512","I don't think it would hold it too securly on your belt.","Neg"
"513","513","This allows the possibility of double booking for the same date and time after the first.","Neg"
"514","514","They work about 2 weeks then break.","Neg"
"515","515","It is simple to use and I like it."," Pos"
"516","516","NOT WHAT I WANTED.","Neg"
"517","517","I own 2 of these cases and would order another."," Pos"
"518","518","Great Phone."," Pos"
"519","519","I bought this battery with a coupon from Amazon and I'm very happy with my purchase."," Pos"
"520","520","Five star Plus, plus."," Pos"
"521","521","A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me."," Pos"
"522","522","$50 Down the drain.","Neg"
"523","523","I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.","Neg"
"524","524","Good , works fine."," Pos"
"525","525","For the price this was a great deal."," Pos"
"526","526","Great price, too!"," Pos"
"527","527","If there is a wind, it is completely useless.","Neg"
"528","528","Yes it's shiny on front side - and I love it!"," Pos"
"529","529","At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).","Neg"
"530","530","The reception through this headset is excellent."," Pos"
"531","531","2 thumbs up to this seller"," Pos"
"532","532","Battery charge-life is quite long."," Pos"
"533","533","The Jabra EarGels fit my ears very well."," Pos"
"534","534","Battery has no life.","Neg"
"535","535","I checked everywhere and there is no feature for it which is really disappointing.","Neg"
"536","536","Doesn't do the job.","Neg"
"537","537","I would recommend it."," Pos"
"538","538","Plan on ordering from them again and again."," Pos"
"539","539","They keep getting better and better (this is my third one and I've had numerous Palms too)."," Pos"
"540","540","Awkward to use and unreliable.","Neg"
"541","541","The shipping time was also very quick!"," Pos"
"542","542","Good case!."," Pos"
"543","543","Really good product."," Pos"
"544","544","dont buy it.","Neg"
"545","545","My father has the V265, and the battery is dying.","Neg"
"546","546","The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.","Neg"
"547","547","Horrible, horrible protector.","Neg"
"548","548","I don't like this Nokia either.","Neg"
"549","549","Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.","Neg"
"550","550","the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!","Neg"
"551","551","Terrible.. My car will not accept this cassette.","Neg"
"552","552","Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.","Neg"
"553","553","It's not what it says it is.","Neg"
"554","554","Stay Away From the Q!.","Neg"
"555","555","Used and dirty.","Neg"
"556","556","I bought two of them and neither will charge.","Neg"
"557","557","It looks very nice."," Pos"
"558","558","This is an excellent tool, especially when paired with your phone's auto-answer."," Pos"
"559","559","I have read other's reviews here but I haven't had any problem with it."," Pos"
"560","560","These products cover up the important light sensor above the ear outlet.","Neg"
"561","561","Comfortable in my hand."," Pos"
"562","562","Just does not work.","Neg"
"563","563","Poor Reliability.","Neg"
"564","564","If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.","Neg"
"565","565","Terrible product, and waste of money!","Neg"
"566","566","It was a waste of my money.","Neg"
"567","567","So far it has worked like a charm."," Pos"
"568","568","But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone."," Pos"
"569","569","Would recommend this item."," Pos"
"570","570","It's been my choice headset for years.Great sound; good volume; good noise cancellation."," Pos"
"571","571","Nice case, feels good in your hands."," Pos"
"572","572","The item received was Counterfeit.","Neg"
"573","573","Just really good.. So far, probably the best BT headset I have ever had."," Pos"
"574","574","I received my headset in good time and was happy with it."," Pos"
"575","575","My sister has one also and she loves it."," Pos"
"576","576","Excellent dual-purpose headset."," Pos"
"577","577","Excellent!."," Pos"
"578","578","WARNING - DO NOT BUY!!.","Neg"
"579","579","I am pairing this with my iphone, and I could not be happier with it so far."," Pos"
"580","580","I didn't want the clip going over the top of my ear, causing discomfort.","Neg"
"581","581","Don't trust their website and don't expect any helpful support.","Neg"
"582","582","It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use."," Pos"
"583","583","The speaker is of low quality so as making the ring tones sound very cheap.","Neg"
"584","584","Fits comfortably, came with three sizes of earbud tips."," Pos"
"585","585","Bad Reception.","Neg"
"586","586","This product is very High quality Chinese CRAP!!!!!!","Neg"
"587","587","It was quite comfortable in the ear."," Pos"
"588","588","Great phone."," Pos"
"589","589","Everything about this product is wrong.First","Neg"
"590","590","This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.","Neg"
"591","591","Terrible phone holder.","Neg"
"592","592","The cutouts and buttons are placed perfectly."," Pos"
"593","593","Not nearly as good looking as the AMAZON picture makes it look.","Neg"
"594","594","But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product."," Pos"
"595","595","How stupid is that?","Neg"
"596","596","I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting."," Pos"
"597","597","Seller shipped quickly and much cheaper than the competitors."," Pos"
"598","598","It always cuts out and makes a beep beep beep sound then says signal failed.","Neg"
"599","599","Couldn't figure it out","Neg"
"600","600","My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.","Neg"
"601","601","So I had to take the battery out of the phone put it all back together and then restart it.","Neg"
"602","602","While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.","Neg"
"603","603","Leopard Print is wonderfully wild!."," Pos"
"604","604","Works for me."," Pos"
"605","605","Saggy, floppy piece of junk.","Neg"
"606","606","much better than the hard plastic cases."," Pos"
"607","607","It also had a new problem.","Neg"
"608","608","Happy so far!."," Pos"
"609","609","cool phone."," Pos"
"610","610","Works good."," Pos"
"611","611","Makes it easier to keep up with my bluetooth when I'm not wearing it.","Neg"
"612","612","As I said above....PRETTY USELESS!","Neg"
"613","613","Never got it!!!!!","Neg"
"614","614","This pair of headphones is the worst that I have ever had sound-wise.","Neg"
"615","615","[...] down the drain because of a weak snap!","Neg"
"616","616","You get extra minutes so that you can carry out the call and not get cut off."""," Pos"
"617","617","However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.","Neg"
"618","618","I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.","Neg"
"619","619","The headset fulfills my requirements so I am happy with my purchase."," Pos"
"620","620","Logitech Bluetooth Headset is a 10!."," Pos"
"621","621","I like the fact that it rests lightly against your ear, rather than inside."," Pos"
"622","622","A lot of websites have been rating this a very good phone and so do I."," Pos"
"623","623","I have tried these cables with my computer and my iPod and it works just fine."," Pos"
"624","624","The mic there is a joke, and the volume is quite low.","Neg"
"625","625","I'm returning them.","Neg"
"626","626","It is easy to turn on and off when you are in the car and the volume controls are quite accessable."," Pos"
"627","627","I have had mine for about a year and this Christmas I bought some for the rest of the family."," Pos"
"628","628","nice leather."," Pos"
"629","629","I had to purchase a different case.","Neg"
"630","630","It is a joy to use."," Pos"
"631","631","Very much disappointed with this company.","Neg"
"632","632","Very satisifed with that."," Pos"
"633","633","It didn't charge for me.","Neg"
"634","634","This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!"," Pos"
"635","635","Just reading on the specs alone makes you say WOW."," Pos"
"636","636","Love it.. Great armband."," Pos"
"637","637","However, the keypads are so tinny that I sometimes reach the wrong buttons.","Neg"
"638","638","I was very impressed with the price of the cases."," Pos"
"639","639","Also makes it easier to hold on to."," Pos"
"640","640","I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!"," Pos"
"641","641","It's pretty easy."," Pos"
"642","642","however, my girl was complain that some time the phone doesn't wake up like normal phone does.","Neg"
"643","643","Beautiful styling though."," Pos"
"644","644","I'm trying to return it for a refund.","Neg"
"645","645","I plugged it in only to find out not a darn thing worked.","Neg"
"646","646","Excellent product."," Pos"
"647","647","Lousy product.","Neg"
"648","648","This phone tries very hard to do everything but fails at it's very ability to be a phone.","Neg"
"649","649","It is the best charger I have seen on the market yet."," Pos"
"650","650","SWEETEST PHONE!!!"," Pos"
"651","651",":-)Oh, the charger seems to work fine."," Pos"
"652","652","It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal."," Pos"
"653","653","Not enough volume.","Neg"
"654","654","you could only take 2 videos at a time and the quality was very poor.","Neg"
"655","655","I am going to have to be the first to negatively review this product.","Neg"
"656","656","Adapter does not provide enough charging current.","Neg"
"657","657","There was so much hype over this phone that I assumed it was the best, my mistake.","Neg"
"658","658","Phone falls out easily.","Neg"
"659","659","It didn't work, people can not hear me when I talk.","Neg"
"660","660","The text messaging feature is really tricky to use.","Neg"
"661","661","I'm really disappointed all I have now is a charger that doesn't work.","Neg"
"662","662","Painful on the ear.","Neg"
"663","663","disappointed.","Neg"
"664","664","The screen does get smudged easily because it touches your ear and face.","Neg"
"665","665","What a piece of junk.. I lose more calls on this phone.","Neg"
"666","666","Item Does Not Match Picture.","Neg"
"667","667","The only thing that disappoint me is the infra red port (irda).","Neg"
"668","668","You can not answer calls with the unit, never worked once!","Neg"
